Question,Answer
"T'es ridicule. J'ai une arme, et toi non. Imbécile.",C'est peut-être ça que vous cherchez ?
Qu'est-ce que vous voulez ?,Ce qu'il y a dans la serviette. Les plans du V2.
Pas question ! Vous allez piloter ce fichu avion et m'amener en Amérique du Sud.,"Oh, sinon ?"
Nein… Des journaux ? Des journaux ?! Qui êtes-vous ?,OSS 117. Pour vous servir.
J'aurais dû m'en douter ! Scheiße !,"Auf wiedersehen, Herr Colonel ! Et merci d'avoir choisi OSS 117 Airways. Ça va Jack ?"
"Ça va, Hubert.","Alors, allons redresser cet avion."
J'arrive.,"Il y a tout de même quelque chose qui me turlupine, Jack. Pourquoi ne pas avoir donné la serviette alors que tu avais déjà les plans ?"
Parce que jamais je céderai devant la barbarie.,"Ah oui, exactement comme moi !"
Chien !,"Commençons tranquillement, voulez-vous ? Avant de corser les choses."
Traître ! Je t'ai percé à jour.,Tiens donc…
Tu travailles pour les services secrets français. Tu es OSS 117. Tu as un numéro comme ces vaches que l'on conduit à l'abattoir.,"À votre service. Moi aussi, je sais qui vous êtes. Vous n'êtes pas Djamila Narubi, journaliste libanaise en poste à Rome, mais la princesse Al Tarouk, la nièce du souverain d'Égypte Farouk."
"Je suis bien la nièce de Farouk, mais il n'est plus roi d'Égypte. Il a été exilé il y a trois ans par cet infâme Nasser. Qu'il meure dans d'atroces souffrances, ce chien !",Vous êtes bien grossière pour une femme dont le tonton est pharaon.
Mon oncle est roi. Les pharaons régnaient il y a quatre mille ans.,"Je le sais, ça. Quoi qu'il en soit, princesse, vous avez quelque chose, là, dont j'ai un grand besoin."
Porc ! Tu paieras pour tes traîtrises.,On verra cela.
"Avant de partir, sale espion, fais-moi l'amour.","Ah je ne crois pas, non."
Pourquoi ?,Pas envie. Hmm… Je n'ai pas aimé le truc sur les vaches.
"D'accord, je le retire.",Merci.
"Non, attachée.",Bâillonnée ?
"Oui. Viens, crotale.","Oui, mais dépêchons-nous, je n'ai que quelques heures."
La blanquette est bonne.,Comment est votre blanquette ?
"La blanquette est bonne. Ravi de vous voir, Hubert.",Voici ce que vous vouliez.
"Voyons cela. Ah, grand Dieu…",Qu'est-ce donc ?
Une très mauvaise nouvelle.,Jack… Jack… Jack… Jack…
OSS 283 était notre agent en Égypte. Nous étions sans nouvelle de lui depuis un mois. Je comprends maintenant pourquoi.,Que se passe-t-il là-bas ?
"Le bordel. Les Soviets et les Américains n'ont qu'une envie : en découdre. Les Anglais sont aussi sur les dents. Ils veulent à tout prix conserver la mainmise sur le canal de Suez et pour tout arranger, un cargo russe a disparu corps et biens il y a un mois, le Kapov. Ah, j'oubliais les Aigles de Khéops.",Les ?
Aigles de Khéops. Des extrémistes religieux qui veulent prendre le pays.,Joli cocktail.
"Hubert, la situation en Égypte inquiète en plus haut lieu.",Le président Coty ?
Hubert ?,Deux blanquettes et un pot de brouillis. On me dit le plus grand bien de vos harengs pommes à l'huile.
"Nous avons besoin de vous sur place. D'un expert, un spécialiste du monde arabo-musulman.",Arabo ?
Musulman. Cherchez ce qu'avait découvert Jefferson et trouvez-moi qui l'a tué.,Comptez sur moi.
"Profitez-en pour me calmer tout ce petit monde, hein ? Américains, Soviétiques, Anglais… Confortez les positions de la France et instaurez la paix en Égypte.",Bien sûr.
"Enfin, sécurisez le Proche-Orient.",Pas de problèmes.
"Votre contact vous attendra à l'aéroport du Caire, devant la mappemonde.",Procédure habituelle ?
"Ça y est, il vient d'arriver.",Comment est votre blanquette ?
Pardon ?,Les plats à base de viande sont-ils de bonne qualité ?
Oui…,Bons ?
"Faut aimer, mais… Oui.",Avec du veau ?
"Non, à base d'agneau, plutôt. Je crois. Il y a du poulet, aussi.","Il n'y a rien à base de veau avec… des champignons, des pommes de terre ?"
"Je… Je sais pas. Au revoir, monsieur.","Bonne journée, monsieur."
Comment est votre blanquette ?,Elle est bonne.
On me dit le plus grand bien des harengs pommes à l'huile.,Le patron vous en apportera un ramequin. Vous vous ferez une idée.
"Je suis Larmina El Akmar Betouche, la secrétaire de monsieur Jefferson.","Quel nom compliqué. Hubert Bonisseur de la Bath. Mais ici, je suis Lucien Bramard. Enchanté."
Cigarette ?,"Non merci, je ne fume pas. Je n'arrive pas à aimer cela."
"Quel dommage. Pourtant, fumer détend. Surtout dans votre travail.","Je sais, j'enrage. Ne pas fumer me tue. Je vais réessayer, je vous le promets. Jolie voiture. Dommage qu'elle soit aussi sale."
Il y a beaucoup de poussière dans notre pays.,"C'est le moins qu'on puisse dire. Que je te trimballe des poules, que je te trimballe des pastèques… Ceci dit, c'est sympathique au fond."
"Sympathique ? Sympathique ? L'Égypte a régné sur le monde pendant plus de deux mille ans. Nous avons inventé l'astronomie, les mathématiques. Nos architectes ont construit des sanctuaires dont vos archéologues s'échinent encore à découvrir l'entrée, monsieur Bonisseur de la Bath.","Br… Bramard. Lucien Bramard. Votre français est irréprochable, Larmina."
"L'Égypte a longtemps été francophone, monsieur Bramard. Mais le Raïs, depuis son ascension au pouvoir…",Le ?
"Le Raïs, le chef. Le président de l'Égypte, Nasser. Eh bien Nasser a lancé une grande politique d'arabisation du pays.","Le problème avec l'arabe, c'est que ce n'est pas facilement lisible. Même au niveau du son, on sent vos… Oui non mais enfin c'est joli. C'est joli, quand même."
L'arabe est parlé par des millions de personnes et son écriture est un art.,"[Rire] Des millions ? Des millions ? Vous êtes charmante. Vous voyez ce que ça fait, déjà, un million, Larmina ?"
"Assez bien oui, merci. Il va falloir être prudent, monsieur Bramard. Les Égyptiens ne supportent plus l'occupation anglaise, et en général, les étrangers sont assez mal vus, en ce moment.","Vu les merveilleuses richesses de ce pays, on comprend que les étrangers aient envie de l'occuper… Et de s'y éterniser."
Le canal a été construit il y a seulement quatre-vingts six ans.,"Ah bon ? En tout cas, quel… Quelle fierté pour votre pays."
"Le canal a un statut international. La compagnie qui le gère est à majorité anglaise. Rien de tout cela n'est égyptien, à part les cadavres des ouvriers qui se sont échinés à le creuser.",Que se passe-t-il ?
Mon père est mort ici.,Il a participé à la construction du canal ?
"Non. Il jouait au jokari avec un ami. L'élastique s'est distendu. La balle est partie. Il l'a suivie, emporté par les flots. C'était un saint homme.","L'Égypte est décidément bien meurtrie. Dites-moi, Larmina, où en était Jack dans son enquête ?"
Monsieur Jefferson avait découvert qu'un stock d'armes avait été dérobé. Il avait rendez-vous avec un informateur à Ismaïlah il y a un mois. Je ne l'ai jamais revu depuis.,Curieux.
N'est-ce pas ?,"Oui, curieux. Vous voyez l'automobile derrière moi ?"
Oui.,Ça fait un petit moment que je l'observe.
Et bien ?,"Et bien elle est absolument impeccable. C'est quand même bien mieux une voiture propre, non ? À l'occasion, je vous mettrai un petit coup de poliche."
Nous y sommes. Voici la SCEP.,La ?
"Soyez le bienvenu, sidi.","Merci à toi, Slimane. Slimane, tu te sentais orphelin depuis le départ de monsieur Jefferson. Sois rassuré, je suis là, maintenant. Je suis Lucien Bramard, ton nouveau directeur. Mais je suis avant tout ton ami."
"Merci, sidi.","Pour sceller notre amitié, je… Je veux te donner quelque chose. Regarde. C'est notre raïs à nous. C'est monsieur René Coty, un grand homme. Il marquera l'histoire. Il aime les cochinchinois, les malgaches, les marocains, les sénégalais. C'est donc ton ami. Ce sera ton porte-bonheur."
Merci sidi.,Jack… Jack… Jack…
"Bienvenue à la SCEP, sidi.",Mais qu'est-ce que c'est ?
"La SCEP, la Société Carotte d'Élevage de Poulets. Monsieur Jefferson était éleveur de poulets, donc vous aussi, maintenant.",Ah. Très bien.
"450 000, 110 coqs, 150 poulets. C'est ça la SCEP, sidi.",Er quelle est cette curieuse odeur ?
"C'est le poulet, sidi.",Et ce bruit ?
Ils font ça quand on allume et ils s'arrêtent quand on éteint.,Ah. C'est amusant. Ah oui en effet.
"Venez, Lucien, le bureau de monsieur Jefferson est au fond.","Ah oui, c'est… C'est cocasse."
"Lucien, je vous présente Gerhard Moeller. Il dirige la SEB, la Société Égyptienne d'Élevage de Bœufs.","Enchanté, mais tout cela ne répond pas à ma deuxième question."
Laquelle ?,Qu'est-ce que… Qu'est-ce que vous faites ici ?
"Je suis venu prendre des nouvelles de mon ami Jefferson, simplement. Il y a un moment que je ne l'ai pas vu.",Jack est en Jordanie. C'est un marché très prometteur en termes de poulets.
"Me voilà rassuré. Merci. Dites-moi, je n'ai pas l'honneur de vous connaître. Pourtant, c'est petit ici. Tout le monde connaît tout le monde.","Lucien Bramard, je suis l'associé de Jack."
"Méfiez-vous de lui, Lucien. Jack ne l'aimait pas.","Ne vous inquiétez pas, Larmina. S'il y a quelque chose à découvrir… je le découvrirai."
"Lucien, il y a une réception ce soir à l'ambassade de Grande-Bretagne.","Oh, à la bonne heure. Ce sera l'occasion de porter mon… smoking en alpaga."
"Oui, si vous voulez. Ce sera surtout l'occasion de rencontrer le gratin cairote.","Et non pas le gratin de pommes de terre. Non parce que ça ressemble à ""carotte"". Cairote. C'est le légume… Parce que vous avez dit gratin. Donc, euh… Gratin de pommes de terre. Gratin de pommes de terre, c'est une… C'est une astuce."
Je passerai vous prendre à dix-neuf heures.,"Oui, très bien. À tout à…"
"Oui, sidi ?",J'ai réservé au nom de Bramard.
Monsieur Bramard ?,Monsieur.
Comment est votre potée ?,Pardon ?
Comment est votre potée ?,Comment est quoi ? Comment est quoi ? Comment est quoi ?!
Choukran.,Mais c'est René Coty…
"Bienvenue en Égypte, 117.","Ah, princesse. C'est toujours un enchantement de vous voir."
Merci Hubert.,Il y a pas de quoi.
Quelle est cette curieuse odeur ? On dirait comme une odeur de poulet ?,On va dire que c'est moi.
"Rends-moi l'enveloppe, Hubert.",Et pourquoi ferais-je ce cadeau ?
Pour ça.,"J'aime me battre. Maintenant, princesse, dites-moi pourquoi vous tenez tant à cette enveloppe."
"Je ne te dirai rien, fennec.",Comme vous voudrez.
Je ne te dirai rien.,"Eh bien comme ça nous sommes quittes, puisque de mon côté, je ne vous ferai pas l'amour. Oh bien sûr, je pourrais me servir de… cet outil. Ceci est un pistolet. Par le passé, il a su faire parler beaucoup de monde. Hommes comme femmes, d'ailleurs. Il se charge et se décharge comme ceci. Chargé. Déchargé. Chargé. Déchargé. Chargé… Déchargé. C'est une arme fiable, ferme et qui a un coefficient de pénétration…"
"Safi. Je ne sais pas d'où vient cette enveloppe ni ce qu'il y a dedans. Je sais juste qu'un inconnu m'a demandé de la transmettre à mon oncle, le roi Farouk.",Merci.
Mon petit chameau…,"Faudrait vraiment arrêter avec les noms d'animaux. À force, c'est vexant."
"La chambre vous convient-elle, sidi ?","Oui, très bien, merci. Cependant, je dois vous avouer que j'y ai trouvé un petit peu de désordre. Il y avait une souris sur le lit et un cafard dans le placard."
"Assalamu alaykum, monsieur.","Bonsoir Larmina. Vous étiez belle cette après-midi, vous êtes très belle ce soir. J'attends demain avec impatience."
"Inch'Allah Lucien, je vous conduis.",Je n'ai jamais pu refuser quoi que ce soit d'une brune aux yeux marrons.
Et si j'étais blonde aux yeux bleus ?,"Cela ne changerait rien, vous êtes mon type de femme, Larmina."
Tiens donc. Et si j'étais naine et myope ?,Et bien je ne vous laisserais pas conduire. Ça n'a pas de sens.
"Ça y est, je… J'ai trouvé. Comment est votre daube ?",Tu n'en as pas eu assez tout à l'heure ?
Arrêtez…,"C'est toi, arrêtez ! Pardonnez-moi. Venez, allons nous amuser."
Il vient d'arriver à l'ambassade.,"Une Suze. Vous ne prenez rien ? Guignolet, Dubonnet, Saints-Anneaux, Brandy peut-être ?"
"Je ne bois pas d'alcool, merci.","Ha, quelle drôle d'idée."
C'est proscrit par la religion.,Quelle religion peut être assez stupide pour priver ses fidèles d'un plaisir ?
La religion musulmane. Soit celle de 90% des habitants de ce pays.,Ah j'ignorais. Au temps pour moi.
"Vous êtes très… Très français, en fin de compte.",Merci.
Oh un mambo ! Venez.,Je ne connais pas cette danse.
Regardez mes pas et faites comme moi. Je suis en quelque sorte votre… miroir.,"Hé bien, dites-moi, ce que j'y vois me ravit. Je suis très belle, ce soir. Cette robe épouse parfaitement mes formes somptueuses avec le soupçon de pudeur qui convient."
"Taisez-vous et concentrez-vous. Lucien, nous manquons de discrétion.",Comment être discret avec une femme comme vous ?
"Revenez, Lucien. Sans vous, je me sens…",Toute nue ? Je comprends.
Vous voyez les personnes là-bas ?,Jolie brochette.
"En effet. Ravi de vous revoir, monsieur Bramard.","Plaisir partage, Herr Moeller."
"Raymond Pelletier, qui dirige la SBEP, la Société Belgo-Égyptienne d'élevage de Poulets. Votre concurrent et ami.",Bonjour.
"Et enfin, Ieveni Setine. Il est éleveur de moutons.",Enchanté.
"Monsieur Bramard, cigarette ?","Merci, j'essaie de commencer."
Merci.,Permettez ?
"Mais je vous en prie. Ce serait pour moi une joie de vous faire découvrir les pyramides, monsieur Bramard.","Et pour moi un honneur d'avoir un tel guide. Un philosophe a dit un jour : ""Le mystère des pyramides, c'est le mystère de la conscience dans laquelle on n'entre pas""."
"Lorsque l'on meure, souvent, on voudrait que tout s'arrête avec soi.","Mais c'est le cycle même de la vie. Lorsque quelqu'un ou quelque chose meure, quelqu'un ou quelque chose naît ailleurs."
Ah…,"L'aveugle ne voit pas, il ressent. Et paradoxalement, il voit."
Et le cul-de-jatte a une jambe qui le démange encore.,"Quand une femme change d'homme, elle change de coiffure."
Mister Bramard ?,Oui ? Excusez-moi.
Nigel Gardenborough. Je dirige le consortium britannique d'élevage d'agneaux.,Lucien Bramard. Que signifie ce mot ?
"Il signifie que je sais qui vous êtes. J'ai essayé plusieurs fois de vous contacter, mais… Vous êtes un peu soupe-au-lait.","Ah, pardonnez-moi. On n'est jamais trop prudent. Cette ville est un tel nid d'espions… Que voulez-vous ?"
"Je voulais vous prévenir d'un grand danger. Jefferson, Jack Jeffer…","Mais qu'est-ce qui vous prend, mon petit vieux ? Oh mon Dieu !"
[Cri],"Choukran ? Hôtel Metropolitan, s'il vous plaît, choukran."
Ah ouais… Choukran.,Larmina ? C'est moi.
C'est vous ?,Bah oui c'est moi.
J'étais morte d'inquiétude. J'ai préféré venir vous attendre ici.,"Dormez, tout va bien."
[Appel à la prière],"Mais il va la fermer, sa gueule !"
Bonjour.,"Oh, bonjour Larmina."
Bien dormi.,"Oui, très bien, merci. J'ai fait un rêve merveilleux. J'ai rêvé qu'une femme sublime aux yeux marrons m'apportait mon petit-déjeuner au lit."
Vous dites ça à toutes les femmes ?,"Non, seulement aux femmes sublimes aux yeux marrons qui m'apportent mon petit-déjeuner au lit."
Bismillah.,"J'aime me beurrer la biscotte. Dites-moi, Larmina. Cette nuit, j'ai été réveillé par des cris horribles. Un homme hurlait à la mort de la tour, là-bas. Impossible de dormir. J'ai été obligé de le faire taire."
Le muezzin ? Vous avez fait taire le muezzin ?,Le ?
Muezzin. Le prêtre qui appelle les fidèles à la prière du matin.,"Ah j'ignorais. C'était donc ça tout ce tintouin, les cris, le micro… D'accord. Hmm… On m'enlèvera pas l'idée que c'est une curieuse religion. À mon avis, vous allez vite vous en lasser. Je ne lui prédis pas un grand avenir. Dites-moi Larmina, mon petit. Ça vous embêterait de me déposer à la SCEP, histoire de fouiner un peu ?"
"Mais bien sûr, Lucien.",Choukran.
"Vous n'avez plus besoin de moi, sidi ?",Hein ?
"Il est cinq heures, sidi.","Il est cinq heures ? Ça passe à une vitesse… Oui, non tu peux rentrer chez toi, brave Slimane."
"Merci, sidi.","Bonsoir, dévoué Slimane. Slimane ?"
"Oui, sidi ?","Tu embrasses toute ta famille pour moi, d'accord ? Combien tu as d'enfants ? Huit ? Neuf ?"
"Deux, sidi.",Tu les embrasses quand même.
"Merci sidi. Slama, sidi.","Slimane ? C'est toi, Slimane ? Slimane ? Oh mon Dieu…"
Très bien.,Je croyais que ça devait piquer.
"Normalement, oui.",Vous permettez ? Ne perdons pas de temps avec ces bêtises.
"Ça va, Lucien ?","Ça va. Ah, quel con, quel con…"
"Vous avez de la chance, ce ne sont que des éraflures. Ça aurait pu s'infecter.",Tout ça ne me plaît guère. Déjà que les comptes ne sont pas brillants. Nous avons perdu vingt-cinq poulets dans cette affaire.
Regardez ce que j'ai trouvé dans la poche de votre agresseur.,"Grand Dieu ! Fondouk, ça vous dit quelque chose ?"
C'est un café.,Rien d'autre ? Rien de spécial ?
"Rien d'autre. C'est très typique, c'est tout.",Quel dommage. Ça aurait pu être un indice.
"Ceci dit, ça vaut peut-être la peine d'aller y faire un tour. On ne sait jamais. Pour trouver un indice ou une piste.",Vous avez raison. C'est exactement ce que je pense. Il serait bon que vous m'appreniez  deux-trois rudiments d'arabe pour ce soir. Que je passe inaperçu.
"Très bien, commençons par le début. Wahed, zouj, tlata, rabâ, khamssa.","Wahed, zouj, tlata, rabâ, khamssa."
Très bien.,Ça veut dire quoi ?
"Un, deux, trois, quatre, cinq.","Hmm… Ça me sert à rien. Sauf si je dois compter jusqu'à cinq. Et là en revanche, ça pourrait me servir. Il ne faut pas que je dépasse cinq, car je ne connais pas six. Je suis battu… Je crois qu'il faut tenter le coup. Le jeu en vaut la chandelle, Larmina. Oui, le jeu en vaut la chandelle."
Allahu Akbar !,Allahu Akbar !
Allahu Akbar !,Ma tête… Mes poignets…
"Que fais-tu ici, chien d'étranger ?",Je fuis les lieux touristiques. Votre café m'a paru authentique et la carte alléchante.
"Quelques coups de fouet vont te faire perdre de ta superbe, infidèle !","Détache-moi et je te garantis que je vais te faire tâter de ma superbe, fidèle."
[Coup],Wahed.
[Coup],Zouj.
[Coup],Tlata.
[Coup],Rabâ.
[Coup],Khamssa.
[Coup],Six.
[Coup],Larmina ?
"Te voilà fait comme un rat, OSS 117.","Comment avez-vous pu me trahir ainsi ? Je n'aurais jamais dû vous faire confiance. On ne devrait jamais faire confiance à une femme, d'ailleurs. Moi qui pensais même vous… laisser faire l'amour avec moi. Nous voilà bien lotis."
Faire l'amour avec toi ? Toi qui as voulu faire taire un muezzin parce qu'il t'empêchait de dormir ? Je préférerais forniquer avec un porc un vendredi de ramadan ! Tu ne cesses de juger mon pays et ma religion avec suffisance et prétention.,"Je n'arrive pas à y croire. Vous, vos cigarettes, votre mambo, vos nichons dans cette bande de fanatiques ! C'est…"
"Je te l'ai dit mais tu n'as pas écouté. Mon père était un saint-homme. Sans ce terrible accident de Jokari, il serait là pour mener la révolution.",Mais vous n'êtes pas comme ces hommes.
Je suis comme eux ! Je me bats pour qu'on me respecte !,"Dommage qu'eux ne soient pas comme vous. Si tous les hommes avaient des formes aussi prodigieuses que les vôtres, je virerais sûrement ma cutille."
Ne t'avises plus jamais de parler de mon corps.,"Si tous les hommes avaient ces seins rebondis, ce sillon mammaire impeccablement dessiné, ces tétons qui pointent à la moindre émotion, à la moindre brise, ces tétons que l'on a envie de mordiller, ces mamelons roses de vie, gorgés d'envie…"
"Vous êtes ridicule, Lucien.","Oui, mais je suis libre."
"Alors, infidèle ? On s'en va sans dire au revoir ?",Mais pas du tout. Je suis prêt à vous dire au revoir un par un.
Essaie un peu pour voir.,"Très bien, je commence par qui ?"
Essaie un peu pour voir.,Je commence par qui ?
"Alors, infidèle, on s'en va sans dire au revoir ?","Messieurs, il n'est de bonne société qui ne se quitte."
"Wahed, zouj, tlata, rabâ, khamssa.","Bonsoir. Euh… Pas de messages ? Messages ? Bien, je… Je monte dans ma chambre."
